,(School Closing): Targeted,(School Closing): General,(School Closing): Recommmended,(School Closing): Required,(Workplace closing): Targeted,(Workplace closing): General,(Workplace closing): Recommmended,(Workplace closing): Required,(Cancel public events): Targeted,(Cancel public events): General,(Cancel public events): Recommmended,(Cancel public events): Required,(Close public transport): Targeted,(Close public transport): General,(Close public transport): Recommmended,(Close public transport): Required,(Public information campaigns): Targeted,(Public information campaigns): General,(Public information campaigns): Yes,(Restrictions on internal movement): Targeted,(Restrictions on internal movement): General,(Restrictions on internal movement): Recommmended,(Restrictions on internal movement): Required,(International travel controls): No measures,(International travel controls): Screening,(International travel controls): Quarantine on high-risk regions,(International travel controls): Ban on high-risk region
-14,0.5178571428571429,2.706730769230769,0.0,1.0,1.375,15.5,0.5795454545454546,1.5535714285714286,0.6666666666666666,1.8846153846153846,1.0972222222222223,0.7412280701754386,3.4545454545454546,4.94,3.7884615384615383,2.630952380952381,1.25,5.353658536585366,0.5833333333333334,6.75,0.2857142857142857,5.229166666666667,7.343023255813954,0.0,-0.03571428571428571,195.26785714285714,3.632978723404255
-13,0.39285714285714285,1.5144230769230769,0.25,0.9278846153846154,1.5,21.402439024390244,0.8977272727272727,4.660714285714286,0.3958333333333333,-0.3894230769230769,0.5833333333333334,0.5657894736842105,9.022727272727273,2.02,8.23076923076923,1.119047619047619,0.15,5.2560975609756095,0.6,2.392857142857143,3.642857142857143,1.4166666666666667,4.5,0.0,0.0,343.42857142857144,4.5212765957446805
-12,0.21666666666666667,4.490384615384615,0.4230769230769231,2.7358490566037736,1.9583333333333333,18.859756097560975,0.9090909090909091,8.56547619047619,0.1875,-0.1346153846153846,0.06944444444444445,0.8552631578947368,11.204545454545455,2.22,9.634615384615385,3.869047619047619,-0.3,0.38095238095238093,0.65625,2.9285714285714284,7.071428571428571,3.625,7.0,0.0,0.09375,-123.66071428571429,4.890625
-11,1.0666666666666667,7.524038461538462,0.35714285714285715,6.268867924528302,2.875,13.176829268292684,1.1818181818181819,5.285714285714286,0.9375,3.1346153846153846,0.4444444444444444,0.7412280701754386,1.2045454545454546,6.26,3.25,7.630952380952381,0.5,3.261904761904762,1.16875,6.392857142857143,12.357142857142858,13.28125,13.534883720930232,0.0,0.15625,-311.10714285714283,2.446078431372549
-10,2.183333333333333,3.490566037735849,0.9821428571428571,2.986111111111111,7.291666666666667,17.408536585365855,1.4318181818181819,6.160714285714286,2.4791666666666665,3.201923076923077,1.4027777777777777,3.2280701754385963,4.909090909090909,4.05,7.0,9.928571428571429,2.2,8.660714285714286,0.4,8.357142857142858,17.583333333333332,18.864583333333332,5.563953488372093,0.0,0.28125,-79.71428571428571,-0.8443396226415094
-9,1.2833333333333334,4.316037735849057,1.5714285714285714,0.5,12.375,37.11585365853659,2.340909090909091,16.095238095238095,3.576923076923077,9.384615384615385,2.4444444444444446,6.538793103448276,15.045454545454545,6.98,14.788461538461538,6.488095238095238,6.375,2.55,1.9659090909090908,4.625,14.089285714285714,8.15625,12.529069767441861,0.25,0.15625,-6.733333333333333,2.7641509433962264
-8,0.8666666666666667,9.735849056603774,0.44642857142857145,5.00462962962963,6.541666666666667,36.25,2.659090909090909,14.494047619047619,3.5384615384615383,15.240384615384615,2.6527777777777777,2.9741379310344827,16.113636363636363,12.93,21.307692307692307,-3.1785714285714284,8.208333333333334,-0.09782608695652174,4.394444444444445,-2.9464285714285716,13.446428571428571,-7.604166666666667,29.63953488372093,0.25,-0.21875,-28.9,6.584821428571429
-7,1.9333333333333333,15.910377358490566,0.5357142857142857,7.8842592592592595,-1.4166666666666667,48.6219512195122,1.9886363636363635,3.761904761904762,2.25,6.4375,0.6111111111111112,1.271551724137931,18.613636363636363,11.09,30.5,3.357142857142857,2.7083333333333335,6.180851063829787,2.7989130434782608,5.85,23.101190476190474,18.302083333333332,21.16860465116279,1.0,-0.125,-44.083333333333336,4.625
-6,2.1666666666666665,8.183962264150944,2.3035714285714284,0.6712962962962963,7.833333333333333,38.079268292682926,0.7272727272727273,11.035714285714286,3.7115384615384617,5.894230769230769,4.763888888888889,6.655172413793103,25.136363636363637,11.55,33.88461538461539,17.273809523809526,3.7916666666666665,9.463541666666666,2.7925531914893615,14.233333333333333,47.30952380952381,48.270833333333336,21.63372093023256,3.25,-0.027777777777777776,-17.5,8.017857142857142
-5,4.133333333333334,18.45754716981132,2.732142857142857,6.1342592592592595,23.270833333333332,10.420731707317072,4.125,27.470238095238095,7.673076923076923,16.817307692307693,13.458333333333334,9.672413793103448,29.318181818181817,7.91,21.096153846153847,24.61904761904762,4.75,10.817708333333334,3.824468085106383,4.366666666666666,52.05952380952381,24.645833333333332,43.44767441860465,2.0,0.325,23.0,17.0
-4,4.433333333333334,41.236111111111114,0.8928571428571429,24.722727272727273,16.541666666666668,10.892857142857142,10.534090909090908,28.156976744186046,8.942307692307692,20.485576923076923,5.194444444444445,10.077586206896552,6.886363636363637,31.14,48.69230769230769,19.154761904761905,11.625,15.428571428571429,4.739795918367347,17.566666666666666,40.366279069767444,27.99,51.81395348837209,-1.0,0.8958333333333334,12.266666666666667,11.772321428571429
-3,5.85,13.328703703703704,1.1785714285714286,11.995454545454546,26.354166666666668,16.982142857142858,5.25,43.5,11.115384615384615,36.94230769230769,-1.2916666666666667,14.081896551724139,6.863636363636363,53.01,80.23076923076923,5.0476190476190474,22.958333333333332,17.147959183673468,8.571428571428571,43.8,44.5406976744186,54.18,62.80232558139535,0.0,0.6458333333333334,-26.583333333333332,9.03125
