,(School Closing): Targeted,(School Closing): General,(School Closing): Recommmended,(School Closing): Required,(Workplace closing): Targeted,(Workplace closing): General,(Workplace closing): Recommmended,(Workplace closing): Required,(Cancel public events): Targeted,(Cancel public events): General,(Cancel public events): Recommmended,(Cancel public events): Required,(Close public transport): Targeted,(Close public transport): General,(Close public transport): Recommmended,(Close public transport): Required,(Public information campaigns): Targeted,(Public information campaigns): General,(Public information campaigns): Yes,(Restrictions on internal movement): Targeted,(Restrictions on internal movement): General,(Restrictions on internal movement): Recommmended,(Restrictions on internal movement): Required,(International travel controls): No measures,(International travel controls): Screening,(International travel controls): Quarantine on high-risk regions,(International travel controls): Ban on high-risk region
-14,14,52,13,52,12,41,22,42,12,52,18,57,11,25,13,21,5,41,39,14,42,24,43,1,7,14,47
-13,14,52,13,52,12,41,22,42,12,52,18,57,11,25,13,21,5,41,40,14,42,24,43,1,8,14,47
-12,15,52,13,53,12,41,22,42,12,52,18,57,11,25,13,21,5,42,40,14,42,24,43,1,8,14,48
-11,15,52,14,53,12,41,22,42,12,52,18,57,11,25,13,21,5,42,40,14,42,24,43,1,8,14,51
-10,15,53,14,54,12,41,22,42,12,52,18,57,11,25,13,21,5,42,40,14,42,24,43,1,8,14,53
-9,15,53,14,54,12,41,22,42,13,52,18,58,11,25,13,21,6,45,44,14,42,24,43,1,8,15,53
-8,15,53,14,54,12,41,22,42,13,52,18,58,11,25,13,21,6,46,45,14,42,24,43,1,8,15,56
-7,15,53,14,54,12,41,22,42,13,52,18,58,11,25,13,21,6,47,46,15,42,24,43,1,8,15,56
-6,15,53,14,54,12,41,22,42,13,52,18,58,11,25,13,21,6,48,47,15,42,24,43,1,9,15,56
-5,15,53,14,54,12,41,22,42,13,52,18,58,11,25,13,21,6,48,47,15,42,24,43,1,10,15,56
-4,15,54,14,55,12,42,22,43,13,52,18,58,11,25,13,21,6,49,49,15,43,25,43,1,12,15,56
-3,15,54,14,55,12,42,22,43,13,52,18,58,11,25,13,21,6,49,49,15,43,25,43,1,12,15,56
-2,15,54,14,55,12,42,22,43,13,52,18,58,11,25,13,21,7,51,52,15,43,25,43,1,14,15,56
-1,15,54,14,55,12,42,22,43,13,52,18,59,11,25,13,22,8,53,55,15,43,25,44,1,16,15,57
0,15,54,14,55,12,42,22,43,13,52,18,59,11,25,13,22,8,57,58,15,43,25,44,1,17,15,57
1,15,54,14,55,12,41,22,42,13,52,18,59,11,25,13,22,8,57,58,15,43,25,44,1,18,15,57
2,15,53,14,55,12,40,22,41,13,52,19,59,11,24,13,21,8,58,60,15,43,25,44,1,18,15,57
3,15,53,14,55,12,40,22,41,13,52,19,59,11,23,13,21,8,57,60,15,42,25,44,1,18,15,56
4,15,53,14,55,12,40,22,41,13,51,19,59,10,22,13,20,8,58,61,15,42,25,43,1,18,15,56
5,15,53,14,55,12,39,22,40,13,51,19,59,10,22,13,20,8,58,61,15,42,25,43,1,18,15,56
6,15,53,14,55,12,38,22,39,13,50,19,59,10,22,13,20,8,58,61,15,42,25,42,1,18,15,55
7,15,53,14,55,12,37,22,38,13,49,19,59,8,22,13,17,8,57,60,15,39,25,40,1,19,15,54
8,15,53,14,55,11,34,22,35,13,47,19,58,8,21,13,16,8,57,60,14,37,25,36,1,19,15,54
9,15,51,14,54,11,33,22,35,13,47,19,58,8,19,12,15,7,56,59,13,36,24,31,1,19,15,52
10,14,51,14,53,10,32,22,32,13,46,19,58,7,17,12,12,7,56,59,13,34,23,30,1,19,15,52
11,14,51,14,52,10,31,22,30,13,46,19,57,6,17,12,10,7,55,59,12,32,22,28,1,19,15,51
12,14,49,14,51,10,30,22,28,13,45,19,56,5,15,11,8,7,55,59,12,28,21,25,1,19,15,50
13,14,49,14,51,10,30,22,27,13,43,19,55,3,14,9,7,7,55,59,10,26,20,21,1,20,14,47
